Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Algonquin Moon Bed & Breakfast,32 Swallowdale Rd,,Huntsville,ON,P1H 0A5,,705-788-3066,T,2021-12-01,TEMPORARILY UNAVAILABLE (Public - Call ahead),Dawn to dusk daily; donations accepted,,,,,,1,,,Non-Networked,,200-9,45.335467,-79.136714,2023-04-05,82902,2023-04-10 20:30:18 UTC,P,,,2014-06-15,,,,,J1772,CA,,Du lever au coucher du soleil tous les jours; dons acceptÃ©s,,TEMPORAIREMENT SUSPENDU (Public - Appeler à l'avance),,public,CALL,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,,false
ELEC,Balls Falls Centre for Conservation,3292 Sixth Ave,,Lincoln,ON,L0R 1S0,,905-562-5235,E,,Public,24 hours daily; guest use only,,,,,,2,,,Non-Networked,,200-9,43.133157,-79.386041,2023-04-05,82910,2023-04-10 20:30:18 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; les clients seulement,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free after 4 PM; free following parking payment during hours of operation,Gratuit après 16 h 00; gratuit après le paiement de stationnement pendant les heures d'ouverture,,,,,,,,,true,,,,,,,,MD,false
ELEC,Best Western - Belleville,387 N Front St,,Belleville,ON,K8P 3C8,,613-969-1112,E,,Public - Call ahead,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-8,44.189215,-77.396476,2022-04-13,82916,2023-03-29 14:29:02 UTC,P,,,2015-02-01,,,,,J1772,CA,,24 heures par jour; les clients seulement,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western - Cairn Croft,6400 Lundy's Ln,,Niagara Falls,ON,L2G 6H2,,,E,,Public - Call ahead,24 hours daily; guest and restaurant client use only; see front desk for access,,,,,,2,,,Non-Networked,,200-9,43.088776,-79.101054,2024-01-12,82918,2024-01-12 14:23:28 UTC,P,,,2012-01-15,,,,,J1772,CA,,24 heures par jour; des clients seulement; rendez-vous à la réception pour avoir accès,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,true
ELEC,Best Western Plus - Cobourg Inn & Convention Centre,930 Burnham St,,Cobourg,ON,K9A 2X9,,905-372-2105,E,,Public,24 hours daily; for hotel/restaurant guest use only,,,,,,1,,,Non-Networked,,200-9,43.972091,-78.191994,2023-04-05,82919,2023-04-10 20:30:18 UTC,P,,,2014-06-15,,,,,J1772,CA,,24 heures par jour; a l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western - Inn on the Bay,1800 2nd Ave E,,Owen Sound,ON,N4K 5R1,,519-371-9200,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,44.578532,-80.936692,2024-01-12,82925,2024-01-12 14:23:28 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western - Lakeside Inn,470 1st Ave S,,Kenora,ON,P9N 1W5,,807-468-5521,T,2022-06-01,TEMPORARILY UNAVAILABLE (Public),24 hours daily; for guest or customer use only,,,,,,1,,,Non-Networked,,200-9,49.761421,-94.488448,2023-04-05,82928,2023-04-10 20:30:18 UTC,P,,,,,,,,J1772,CA,,24 heures par jour; Ã  l'usage des clients seulement,,TEMPORAIREMENT SUSPENDU (Public),,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,,false
ELEC,Best Western - North Bay,700 Lakeshore Dr,,North Bay,ON,P1A 2G4,,705-474-5800,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,46.266569,-79.435513,2024-01-12,82931,2024-01-12 14:23:28 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; À l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western - Otonabee Inn,84 Lansdowne St E,,Peterborough,ON,K9J 6Z3,,705-742-3454,E,,Public,24 hours daily; for client use only,A Cash Debit M V,,,,,1,,,Non-Networked,,200-9,44.290061,-78.303055,2024-01-12,82932,2024-01-12 14:23:28 UTC,P,,,2014-06-15,,,,,J1772,CA,,24 heures par jour; À l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free for guest use; $9 per session for the public,Gratuit; $9 par session pour le publique,,,,,,,,,true,,,,,,,,LD,true
ELEC,Best Western - Pembroke Inn,1 International Dr,,Pembroke,ON,K8A 6W5,,613-735-0131,E,,Public,24 hours daily; for client use only,,,,,,1,,,Non-Networked,,200-9,45.79871,-77.116359,2024-01-12,82933,2024-01-12 14:23:28 UTC,P,,,2015-01-15,,,,,J1772,CA,,Accessible 24 heures par jour; Å  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
