LHRS,Offset,Year,Hwy No,Hwy Letter,Hwy Type,Location Description,Station #,Region,Sec Len,Con Link Len,Secondary Description,PDCS #,Pattern,DHV %,Design Hr. Dir Split %,Design Hr. Dir Split Higher Volume Direction,AADT,SADT,SAWDT,WADT,Truck %,Truck AADT,Alpha Code,Count Code,cost 1,cost 2,cost 3,Latitude,Longitude
47200,0,2019,401,,FWY,QUEBEC ONTARIO BDY,20,EAST,3.18,0,,9,CTR,12,51,N/A,20200,26900,26800,16400,37,7550,T,1,35000,56000,70000,45.208774,-74.347986
47210,0,2019,401,,FWY,S D&G RD 23 4TH LINE RD IC-825,30,EAST,11.21,0,,9,CTR,12,50,N/A,20000,26600,26500,16300,38,7650,T,1,35000,56000,70000,45.192461,-74.381174
47220,0,2019,401,,FWY,SD&G CTY RDS 2&34 IC-814 LANCASTER,35,EAST,9.08,0,,9,CTR,12,50,N/A,19500,26000,25900,15900,36,6950,T,1,35000,56000,70000,45.136617,-74.496488
47230,0,2019,401,,FWY,SUMMERSTOWN RD IC-804 S D & G RD 27,40,EAST,8.53,0,,9,CTR,12,51,N/A,24100,32100,32000,19600,48,11600,T,1,35000,56000,70000,45.090829,-74.592155
47240,0,2019,401,,FWY,BOUNDARY RD IC-796,45,EAST,4.07,0,,9,CTR,12,54,N/A,22500,30000,29800,18300,34,7650,T,1,35000,56000,70000,45.063609,-74.690922
47245,0,2019,401,,FWY,MCCONNELL AV IC-792 CORNWALL,50,EAST,2.68,0,,9,CTR,12,51,N/A,22400,29800,29700,18200,37,8250,T,1,35000,56000,70000,45.052547,-74.739103
47250,0,2019,401,,FWY,HWY 138 IC-789 CORNWALL,55,EAST,2.96,0,,9,CTR,12,52,N/A,23800,31700,31600,19400,36,8500,T,1,35000,56000,70000,45.0523,-74.773025
47260,0,2019,401,,FWY,S D & G RD 33 POWER DAM DR IC-786,60,EAST,8.44,0,,9,CTR,12,52,N/A,20800,27700,27600,16900,36,7550,T,1,35000,56000,70000,45.060146,-74.811499
47270,0,2019,401,,FWY,MOULINETTE RD IC-778 S D & G RD 35,65,EAST,8.24,0,,9,CTR,12,50,N/A,23200,30900,30800,18900,38,8700,T,1,35000,56000,70000,45.046891,-74.90671
47280,0,2019,401,,FWY,S D & G RD 14 DICKINSON DR IC-770,70,EAST,11.33,0,,9,CTR,12,50,N/A,17500,23300,23200,14200,38,6700,T,1,35000,56000,70000,45.011708,-74.996218
47290,0,2019,401,,FWY,UPPER CANADA RD IC-758 S D & G RD 8A,75,EAST,8.06,0,,9,CTR,12,50,N/A,18600,24800,24700,15100,39,7250,T,1,35000,56000,70000,44.953528,-75.109604
47300,0,2019,401,,FWY,SD&G CTY RD 31 IC-750 MORRISBURG,80,EAST,12.45,0,,9,CTR,12,54,N/A,18300,24400,24300,14900,40,7250,T,1,35000,56000,70000,44.916911,-75.197984
47310,0,2019,401,,FWY,CARMAN RD IC-738 S D & G RD 1,84,EAST,7.87,0,,9,CTR,12,54,N/A,17700,23600,23500,14400,39,6850,T,1,35000,56000,70000,44.857449,-75.330403
47315,0,2019,401,,FWY,SHANLY RD IC-730 L & G RD 22,90,EAST,8.69,0,,9,CTR,12,51,N/A,20100,26800,26700,16400,38,7550,T,1,35000,56000,70000,44.810858,-75.405306
47320,0,2019,401,,FWY,HWY 16 IC-721B JOHNSTOWN,96,EAST,1.1,0,,9,CTR,12,86,N/A,15800,21100,21000,12900,44,6950,T,1,35000,56000,70000,44.754906,-75.477688
47322,0,2019,401,,FWY,HWY 416 IC-721A,97,EAST,3.96,0,,9,CTR,12,54,N/A,32400,43200,43000,26400,25,8200,T,1,35000,56000,70000,44.740213,-75.499842
47325,0,2019,401,,FWY,EDWARD ST IC-716 L & G RD 18,120,EAST,11.38,0,,9,CTR,12,55,N/A,37200,49600,49300,30300,25,9450,T,1,35000,56000,70000,44.722975,-75.524926
47330,0,2019,401,,FWY,MAITLAND RD IC-705 L & G RD 15,125,EAST,6.64,0,,74,UC,9,50,N/A,38100,37500,38100,36700,25,9450,T,1,35000,56000,70000,44.652473,-75.626447
47335,0,2019,401,,FWY,N AUGUSTA RD IC-698 BROCKVILLE,130,EAST,1.83,0,,9,CTR,12,54,N/A,36100,48100,47900,29400,27,9900,T,1,35000,56000,70000,44.610959,-75.685652
47340,0,2019,401,,FWY,HWY 29 IC-696 STEWART BV BROCKVILLE,135,EAST,9.8,0,,9,CTR,12,52,N/A,31300,41700,41500,25500,27,8500,T,1,35000,56000,70000,44.599302,-75.701586
47350,0,2019,401,,FWY,HWY 2 IC-687,136,EAST,1.89,0,,9,CTR,12,56,N/A,34300,45700,45500,27900,44,15100,T,1,35000,56000,70000,44.53129, -75.767346
47354,0,2019,401,,FWY,THOUSAND ISLANDS PKWY(WBL) IC-685,137,EAST,9.2,0,,9,CTR,12,51,N/A,31100,41400,41300,25300,30,9400,T,1,35000,56000,70000,44.520247,-75.783981
47360,0,2019,401,,FWY,MALLORYTOWN RD IC-675 L & G RD 5,139,EAST,14.25,0,,9,CTR,12,54,N/A,33300,44400,44200,27100,29,9550,T,1,35000,56000,70000,44.474162,-75.869383
47370,0,2019,401,,FWY,HWY 137 IC-661 HILL ISLAND BR TO USA,149,EAST,2.03,0,,9,CTR,12,51,N/A,29600,39400,39300,24100,28,8200,T,1,35000,56000,70000,44.38189,-75.983544
47374,0,2019,401,,FWY,REYNOLDS RD IC-659,151,EAST,11.12,0,,9,CTR,12,52,N/A,31000,41300,41100,25200,26,7950,T,1,35000,56000,70000,44.377941,-76.007837
47380,0,2019,401,,FWY,HWY 2 IC-648,153,EAST,1.37,0,,9,CTR,12,53,N/A,28500,38000,37800,23200,27,7650,T,1,35000,56000,70000,44.34361,-76.133117
47384,0,2019,401,,FWY,THOUSAND ISLANDS PKWY(EBL) IC-647,158,EAST,1.499,0,,9,CTR,12,53,N/A,32700,43600,43400,26600,27,8700,T,1,35000,56000,70000,44.344299,-76.153582
