T0: Car appeared at 47633, not in range
T0: Car appeared at 47661, not in range
T1: Car appeared at 47440, not in range
T1: Car appeared at 47450, not in range
T1: Car appeared at 47484, driving for 17 mins to 47500
T1: Car appeared at 47635, not in range
T1: Car appeared at 47640, not in range
T1: Car appeared at 47650, not in range
T1: Car appeared at 47660, not in range
T1: Car appeared at 47685, not in range
T1: Car appeared at 47725, not in range
T1: Car appeared at 47780, not in range
T2: Car appeared at 47520, driving for 14 mins to 47500
T2: Car appeared at 47612, not in range
T2: Car appeared at 47624, not in range
T2: Car appeared at 47690, not in range
T3: Car appeared at 47534, driving for 21 mins to 47500
T3: Car appeared at 47594, not in range
T3: Car appeared at 47610, not in range
T3: Car appeared at 47624, not in range
T3: Car appeared at 47629, not in range
T3: Car appeared at 47633, not in range
T3: Car appeared at 47650, not in range
T3: Car appeared at 47661, not in range
T3: Car appeared at 47673, not in range
T3: Car appeared at 47770, not in range
T4: Car appeared at 47330, not in range
T4: Car appeared at 47596, not in range
T4: Car appeared at 47624, not in range
T4: Car appeared at 47625, not in range
T4: Car appeared at 47650, not in range
T4: Car appeared at 47660, not in range
T5: Car appeared at 47415, not in range
T5: Car appeared at 47596, not in range
T5: Car appeared at 47629, not in range
T5: Car appeared at 47631, not in range
T5: Car appeared at 47730, not in range
T6: Car appeared at 47400, not in range
T6: Car appeared at 47629, not in range
T6: Car appeared at 47654, not in range
T7: Car appeared at 47390, not in range
T7: Car appeared at 47628, not in range
T7: Car appeared at 47635, not in range
T7: Car appeared at 47640, not in range
T7: Car appeared at 47673, not in range
T7: Car appeared at 47700, not in range
T7: Car appeared at 47723, not in range
T8: Car appeared at 47598, not in range
T8: Car appeared at 47604, not in range
T8: Car appeared at 47610, not in range
T8: Car appeared at 47625, not in range
T8: Car appeared at 47626, not in range
T8: Car appeared at 47642, not in range
T8: Car appeared at 47654, not in range
T8: Car appeared at 47661, not in range
T8: Car appeared at 47810, not in range
T9: Car appeared at 47354, not in range
T9: Car appeared at 47598, not in range
T9: Car appeared at 47602, not in range
T9: Car appeared at 47633, not in range
T9: Car appeared at 47673, not in range
T9: Car appeared at 47776, not in range
T10: Car appeared at 47570, not in range
T10: Car appeared at 47573, not in range
T10: Car appeared at 47598, not in range
T10: Car appeared at 47622, not in range
T10: Car appeared at 47667, not in range
T11: Car appeared at 47530, driving for 18 mins to 47500
T11: Car appeared at 47570, not in range
T11: Car appeared at 47596, not in range
T11: Car appeared at 47654, not in range
T11: Car appeared at 47682, not in range
T12: Car appeared at 47330, not in range
T12: Car appeared at 47445, not in range
T12: Car appeared at 47450, not in range
T12: Car appeared at 47540, not in range
T12: Car appeared at 47635, not in range
T12: Car appeared at 47647, not in range
